Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RFN","Fertilizers by Nutrient","076","Brazil","5610","Import quantity","3102","Nutrient nitrogen N (total)","1985","1985","t","131652","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5910","Export quantity","3102","Nutrient nitrogen N (total)","1985","1985","t","3300","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","076","Brazil","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1985","1985","t","834100","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1985","1985","kg/ha","11.95","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5172","Use per capita","3102","Nutrient nitrogen N (total)","1985","1985","kg/cap","6.1","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1985","1985","g/Int$","10.36","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5510","Production","3102","Nutrient nitrogen N (total)","1986","1986","t","714174","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5610","Import quantity","3102","Nutrient nitrogen N (total)","1986","1986","t","275437","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5910","Export quantity","3102","Nutrient nitrogen N (total)","1986","1986","t","7300","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","076","Brazil","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1986","1986","t","980900","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","076","Brazil","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1986","1986","kg/ha","14.35","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5172","Use per capita","3102","Nutrient nitrogen N (total)","1986","1986","kg/cap","7.02","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1986","1986","g/Int$","12.68","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5510","Production","3102","Nutrient nitrogen N (total)","1987","1987","t","746069","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5610","Import quantity","3102","Nutrient nitrogen N (total)","1987","1987","t","217779","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5910","Export quantity","3102","Nutrient nitrogen N (total)","1987","1987","t","6000","X","Figure from international organizations","Data sourced from another international organization"
