Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RFN","Fertilizers by Nutrient","756","Switzerland","5172","Use per capita","3102","Nutrient nitrogen N (total)","1972","1972","kg/cap","6.28","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1972","1972","g/Int$","11.7","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5510","Production","3102","Nutrient nitrogen N (total)","1973","1973","t","26400","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5610","Import quantity","3102","Nutrient nitrogen N (total)","1973","1973","t","15600","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1973","1973","t","41500","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1973","1973","kg/ha","76.43","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5172","Use per capita","3102","Nutrient nitrogen N (total)","1973","1973","kg/cap","6.58","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1973","1973","g/Int$","11.56","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5510","Production","3102","Nutrient nitrogen N (total)","1974","1974","t","29400","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5610","Import quantity","3102","Nutrient nitrogen N (total)","1974","1974","t","9100","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1974","1974","t","37900","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1974","1974","kg/ha","69.27","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5172","Use per capita","3102","Nutrient nitrogen N (total)","1974","1974","kg/cap","5.98","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1974","1974","g/Int$","10.68","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5510","Production","3102","Nutrient nitrogen N (total)","1975","1975","t","29400","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5610","Import quantity","3102","Nutrient nitrogen N (total)","1975","1975","t","15900","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1975","1975","t","44300","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1975","1975","kg/ha","79.86","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5172","Use per capita","3102","Nutrient nitrogen N (total)","1975","1975","kg/cap","6.99","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1975","1975","g/Int$","12.06","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5510","Production","3102","Nutrient nitrogen N (total)","1976","1976","t","31500","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5610","Import quantity","3102","Nutrient nitrogen N (total)","1976","1976","t","22100","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1976","1976","t","50600","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1976","1976","kg/ha","91.05","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5172","Use per capita","3102","Nutrient nitrogen N (total)","1976","1976","kg/cap","8.03","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1976","1976","g/Int$","13.66","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5510","Production","3102","Nutrient nitrogen N (total)","1977","1977","t","31300","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5610","Import quantity","3102","Nutrient nitrogen N (total)","1977","1977","t","24600","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1977","1977","t","55000","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1977","1977","kg/ha","98.82","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5172","Use per capita","3102","Nutrient nitrogen N (total)","1977","1977","kg/cap","8.76","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1977","1977","g/Int$","15.08","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5510","Production","3102","Nutrient nitrogen N (total)","1978","1978","t","32000","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5610","Import quantity","3102","Nutrient nitrogen N (total)","1978","1978","t","30000","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1978","1978","t","63500","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1978","1978","kg/ha","112.53","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5172","Use per capita","3102","Nutrient nitrogen N (total)","1978","1978","kg/cap","10.11","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1978","1978","g/Int$","16.83","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5510","Production","3102","Nutrient nitrogen N (total)","1979","1979","t","35100","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5610","Import quantity","3102","Nutrient nitrogen N (total)","1979","1979","t","33500","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1979","1979","t","64500","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1979","1979","kg/ha","113.8","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5172","Use per capita","3102","Nutrient nitrogen N (total)","1979","1979","kg/cap","10.25","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1979","1979","g/Int$","15.97","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5510","Production","3102","Nutrient nitrogen N (total)","1980","1980","t","32800","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5610","Import quantity","3102","Nutrient nitrogen N (total)","1980","1980","t","33000","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1980","1980","t","65600","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1980","1980","kg/ha","114.06","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5172","Use per capita","3102","Nutrient nitrogen N (total)","1980","1980","kg/cap","10.38","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1980","1980","g/Int$","16.69","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5510","Production","3102","Nutrient nitrogen N (total)","1981","1981","t","32500","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","756","Switzerland","5610","Import quantity","3102","Nutrient nitrogen N (total)","1981","1981","t","29700","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","756","Switzerland","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1981","1981","t","62900","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","756","Switzerland","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1981","1981","kg/ha","108.31","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5172","Use per capita","3102","Nutrient nitrogen N (total)","1981","1981","kg/cap","9.9","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1981","1981","g/Int$","16.24","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5510","Production","3102","Nutrient nitrogen N (total)","1982","1982","t","30700","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","756","Switzerland","5610","Import quantity","3102","Nutrient nitrogen N (total)","1982","1982","t","29500","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","756","Switzerland","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1982","1982","t","60200","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","756","Switzerland","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1982","1982","kg/ha","102.54","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5172","Use per capita","3102","Nutrient nitrogen N (total)","1982","1982","kg/cap","9.42","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1982","1982","g/Int$","14.1","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5510","Production","3102","Nutrient nitrogen N (total)","1983","1983","t","33500","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5610","Import quantity","3102","Nutrient nitrogen N (total)","1983","1983","t","36500","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1983","1983","t","67400","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1983","1983","kg/ha","113.29","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5172","Use per capita","3102","Nutrient nitrogen N (total)","1983","1983","kg/cap","10.5","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1983","1983","g/Int$","16.99","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5510","Production","3102","Nutrient nitrogen N (total)","1984","1984","t","34100","A","Official figure","Official data from questionnaire"
